序號,縣市,監測日期,測站,"二氧化硫<br />SO2<br />(ppb)","一氧化碳<br />CO<br />(ppm)","臭氧<br />O3<br />(ppb)","懸浮微粒<br />PM 10 <br />(μg/m 3 )","細懸浮微粒<br />PM 2.5 <br />(μg/m 3 )","氮氧化物<br />NOx<br />(ppb)","一氧化氮<br />NO<br />(ppb)","二氧化氮<br />NO2<br />(ppb)","風速<br />WIND_SPEED<br />(m/sec)","溫度<br />AMB_TEMP<br />(℃)","大氣溫度<br />AMB_TEMP<br />(℃)","相對濕度<br />RH<br />(percent)"
227,臺北市,2014/09/09,中山,-,-,-,-,19,-,-,-,-,-,-,-
228,臺北市,2014/09/09,中山,2.6,0.72,18.6,51.0,-,33,7.33,25.71,1.97,30.68,-,69.99
229,臺北市,2014/09/08,中山,-,-,-,-,20,-,-,-,-,-,-,-
230,臺北市,2014/09/08,中山,3.7,0.57,16.4,49.0,-,27,7.48,19.43,1.78,31.35,-,66.48
231,臺北市,2014/09/07,中山,-,-,-,-,15,-,-,-,-,-,-,-
232,臺北市,2014/09/07,中山,3.4,0.42,17.8,38.0,-,22,6.43,15.39,1.67,31.08,-,68.51
233,臺北市,2014/09/06,中山,-,-,-,-,9,-,-,-,-,-,-,-
234,臺北市,2014/09/06,中山,0.9,0.35,9.8,32.0,-,21,9.3,11.71,2.43,31.53,-,67.76
235,臺北市,2014/09/05,中山,-,-,-,-,11,-,-,-,-,-,-,-
236,臺北市,2014/09/05,中山,2.8,0.44,10.5,35.0,-,26,12.7,13.17,2.64,31.54,-,65.33
237,臺北市,2014/09/04,中山,-,-,-,-,17,-,-,-,-,-,-,-
238,臺北市,2014/09/04,中山,3.5,0.55,20.7,45.0,-,30,7.13,22.54,2.03,30.92,-,66.49
239,臺北市,2014/09/03,中山,-,-,-,-,20,-,-,-,-,-,-,-
240,臺北市,2014/09/03,中山,4.7,0.67,21.7,57.0,-,37,10.22,26.48,2.1,31.66,-,62.52
241,臺北市,2014/09/02,中山,-,-,-,-,19,-,-,-,-,-,-,-
242,臺北市,2014/09/02,中山,4.6,0.64,24.9,56.0,-,34,7.59,26.0,2.2,31.36,-,63.12
243,臺北市,2014/09/01,中山,-,-,-,-,21,-,-,-,-,-,-,-
244,臺北市,2014/09/01,中山,4.8,0.66,26.5,53.0,-,34,7.25,27.15,1.72,31.42,-,61.95
245,臺北市,2014/08/31,中山,-,-,-,-,21,-,-,-,-,-,-,-
